company_id,company_name,cash_from_operations,free_cash_flow,total_debt,cfo_quality,fcf_status,capex_intensity,capital_allocation_pattern,distress_flag,confidence_pct
1,Abbott India Ltd,,0.0,83.0,Unknown,Negative,Unknown,Conservative,YES,85
2,Adani Energy Solutions Ltd,,0.0,39009.0,Unknown,Negative,Unknown,Conservative,YES,85
3,Adani Enterprises Ltd,,0.0,80427.0,Unknown,Negative,Unknown,Conservative,YES,85
4,Adani Green Energy Ltd,,0.0,67430.0,Unknown,Negative,Unknown,Conservative,YES,85
5,"Adani Ports & Special Economic Zone Ltd
",,0.0,50485.0,Unknown,Negative,Unknown,Conservative,YES,85
6,Adani Power Ltd,,0.0,37705.0,Unknown,Negative,Unknown,Conservative,YES,85
7,Ambuja Cements Ltd,,0.0,779.0,Unknown,Negative,Unknown,Conservative,YES,85
8,"Apollo Hospitals
Chain of Indian private hospitals",,0.0,7371.0,Unknown,Negative,Unknown,Conservative,YES,85
9,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",,0.0,2474.0,Unknown,Negative,Unknown,Conservative,YES,85
10,Adani Total Gas Ltd,,0.0,1457.0,Unknown,Negative,Unknown,Conservative,YES,85
11,Axis Bank Ltd,,0.0,1295302.0,Unknown,Negative,Unknown,Conservative,YES,85
12,Bajaj Auto Ltd,,0.0,5245.0,Unknown,Negative,Unknown,Conservative,YES,85
13,Bajaj Finserv Ltd,,0.0,318675.0,Unknown,Negative,Unknown,Conservative,YES,85
14,Bajaj Holdings & Investment Ltd,,0.0,47.0,Unknown,Negative,Unknown,Conservative,YES,85
15,Bajaj Finance Ltd,,0.0,324218.0,Unknown,Negative,Unknown,Conservative,YES,85
16,Bank of Baroda,,0.0,1453761.0,Unknown,Negative,Unknown,Conservative,YES,85
17,Bharat Electronics Ltd,,0.0,78.0,Unknown,Negative,Unknown,Conservative,YES,85
18,Bharti Airtel Ltd,,0.0,225541.0,Unknown,Negative,Unknown,Conservative,YES,85
19,"Bharat Heavy Electricals Limited
",,0.0,9128.0,Unknown,Negative,Unknown,Conservative,YES,85
20,Bosch Ltd,,0.0,31.0,Unknown,Negative,Unknown,Conservative,YES,85
21,Bharat Petroleum Corporation Ltd,,0.0,58880.0,Unknown,Negative,Unknown,Conservative,YES,85
22,Britannia Industries Ltd,,0.0,2754.0,Unknown,Negative,Unknown,Conservative,YES,85
23,Canara Bank,,0.0,1369780.0,Unknown,Negative,Unknown,Conservative,YES,85
24,Cholamandalam Investment & Finance Company Ltd,,0.0,157943.0,Unknown,Negative,Unknown,Conservative,YES,85
